Name,Student id,sex,overall gpa,grade on recent exam,letter grade on recent exam,gym_exam_score
Krista Martin,000,male,2.28,7,F,11
Eric Thomas,001,male,2.78,27,F,8
Lisa English,002,male,2.90,22,F,60
James Davis,003,female,2.18,57,F,73
Kaitlin Hudson,004,female,2.95,34,F,90
Michael Johnson,005,male,3.69,21,F,89
Frank James,006,male,2.24,39,F,6
Jennifer Miller,007,female,2.72,29,F,86
Jennifer Rodriguez,008,female,3.76,15,F,38
Brittany Schmidt,009,female,3.04,24,F,31
Sean Ortiz,010,male,2.09,5,F,22
Mr. Justin Arias,011,female,2.95,23,F,55
Jack Richards,012,male,3.55,51,F,8
Connie Hampton,013,male,3.14,8,F,49
Amanda Owens,014,female,3.94,48,F,51
Stephanie Avila,015,female,2.16,33,F,11
Michelle Pennington,016,male,2.62,39,F,73
Jeff Donaldson,017,female,3.55,9,F,51
Victoria Perry,018,male,3.68,17,F,94
Michelle Huang,019,male,3.46,5,F,74
Victoria Reeves,020,male,2.75,60,D-,53
Nancy Mitchell,021,male,3.19,62,D-,2
Emily Reed,022,male,2.43,60,D-,81
Caleb Alexander,023,male,3.70,61,D-,49
Amy Rivera,024,male,2.86,61,D-,31
Monica York DDS,025,male,3.47,60,D-,53
Angela Huynh,026,male,2.92,61,D-,68
Richard Roberts,027,female,2.97,60,D-,26
Teresa Lara,028,male,2.18,60,D-,18
Ryan Hall,029,male,2.75,61,D-,35
Kristen Brown,030,male,2.68,61,D-,89
Miguel Doyle,031,female,3.65,61,D-,9
Charles Vance,032,female,2.82,60,D-,16
Jennifer Ellis,033,female,2.66,60,D-,27
Lawrence Lopez,034,male,3.11,62,D-,28
Carol Norton,035,female,2.72,61,D-,35
Jeffrey Simmons,036,male,3.94,61,D-,15
Tracy Chase,037,female,3.02,61,D-,75
Miguel Bowman,038,male,2.44,62,D-,0
Ronnie Scott,039,male,2.77,61,D-,39
Michael Schmitt,040,female,2.68,63,D,70
Lee Vasquez,041,female,3.21,64,D,25
Courtney Hobbs,042,female,2.63,66,D,78
Ronnie Griffith,043,female,3.21,66,D,69
Melinda Greer,044,male,2.70,64,D,5
Matthew Myers,045,male,2.11,66,D,40
Julie Martinez,046,female,2.10,64,D,31
Jacqueline Brown,047,male,3.14,66,D,73
Sean Riley,048,female,3.37,63,D,90
Joshua Copeland,049,female,3.71,64,D,69
Tiffany Palmer,050,female,3.28,66,D,26
Richard Valentine,051,female,2.74,64,D,2
Amber Moon,052,female,2.25,63,D,16
Theresa Gardner,053,male,2.59,66,D,6
Tammy Bryant,054,male,3.46,65,D,28
David Smith,055,female,3.81,63,D,6
Brenda Ray,056,male,2.57,65,D,60
Eric Nguyen,057,male,3.50,65,D,61
Heather Edwards,058,male,3.28,65,D,43
Charles Williams,059,male,2.77,66,D,16
Tammy Reynolds,060,female,3.04,67,D+,24
Scott Palmer,061,male,2.55,67,D+,66
Dennis Potter,062,female,3.35,69,D+,79
Michael Garcia,063,female,3.77,69,D+,93
Tiffany Strickland,064,female,2.44,69,D+,8
Dylan Pierce,065,female,2.27,69,D+,74
Jessica Lopez,066,female,3.00,67,D+,83
Angela Lewis,067,female,2.08,69,D+,20
Andrew Campbell,068,male,3.71,68,D+,27
Alexander Wilson,069,female,3.42,67,D+,71
Phillip Travis,070,male,2.45,69,D+,0
Matthew Conrad,071,male,3.02,67,D+,74
Jerry James,072,male,2.66,68,D+,42
Dana Patel,073,male,2.23,68,D+,66
Larry Huber,074,female,2.43,69,D+,91
Jeremy Green,075,female,3.48,69,D+,0
Alan Stewart,076,male,3.64,68,D+,100
Jessica Tate,077,male,3.32,68,D+,11
Scott Fitzgerald,078,male,3.41,67,D+,28
Cheryl Evans,079,female,3.40,68,D+,97
Ashley Gill,080,female,3.75,72,C-,1
Reginald James,081,female,3.27,70,C-,87
Corey Mcdaniel,082,female,3.78,71,C-,10
Tina Anderson,083,female,2.50,70,C-,57
Cynthia Avery,084,male,2.37,72,C-,55
Jessica Grant,085,male,2.04,70,C-,82
Jason Jackson,086,female,2.49,72,C-,8
Todd Richardson,087,male,2.69,70,C-,86
Jeffrey Davis,088,male,3.16,70,C-,27
Bobby King,089,female,3.28,71,C-,41
Jessica Thomas,090,female,2.93,71,C-,92
Jason Henry,091,female,3.37,72,C-,45
Whitney Heath,092,male,3.19,72,C-,47
Kevin Johnson,093,female,2.06,71,C-,70
Kayla Jenkins,094,male,3.13,71,C-,26
Anthony Thomas,095,male,3.09,71,C-,73
Shannon Powers,096,male,3.31,72,C-,52
Joshua Castillo,097,female,2.30,72,C-,93
Joseph Ward,098,male,3.21,72,C-,86
Julie Woodward,099,female,3.17,71,C-,29
Dr. Tony Garcia,100,female,2.39,74,C,86
Erin Carlson,101,female,3.03,75,C,10
Amy Sullivan,102,male,3.59,73,C,53
Clinton Edwards,103,male,2.35,76,C,27
Alexander Walker,104,female,2.05,75,C,15
Joshua Cole,105,female,2.94,73,C,24
Christopher Cameron,106,male,2.48,74,C,80
Sarah Hull,107,female,3.16,76,C,93
Harold Nelson,108,male,2.89,76,C,83
Gabriel Williams,109,male,2.37,73,C,6
Alex Weber,110,female,3.82,76,C,63
Adam Arellano,111,male,2.97,76,C,34
Joann Hubbard,112,male,2.21,75,C,99
Corey Stewart,113,female,2.22,75,C,2
Matthew Ramirez,114,male,3.81,76,C,19
Sheryl Bennett,115,female,2.27,73,C,14
Miss Cynthia Wilson,116,male,2.15,73,C,85
Douglas Hill,117,male,3.92,74,C,7
Billy Wilkerson,118,male,3.32,75,C,17
Steven Bautista,119,female,3.41,73,C,77
Johnny Scott,120,male,2.25,78,C+,81
William Lee,121,male,2.83,78,C+,25
Courtney Hester,122,female,2.84,77,C+,86
Marco Clark,123,male,3.00,78,C+,63
Rebecca Nash,124,male,3.36,78,C+,29
Heather James,125,female,2.43,77,C+,20
Kaylee Rosario,126,female,3.09,77,C+,83
Robert Richard,127,female,2.47,78,C+,94
Crystal Carson,128,male,2.69,77,C+,63
Ashley Sandoval,129,female,2.85,77,C+,72
Danielle Mejia,130,male,3.71,79,C+,86
Jonathan Rose,131,male,2.69,78,C+,35
Tracey Snow,132,male,2.34,77,C+,30
Ricky Olson,133,female,2.80,77,C+,64
Dr. Joseph Charles III,134,male,3.39,77,C+,44
Jennifer Pope,135,female,2.48,77,C+,63
Victoria Bartlett,136,male,3.14,77,C+,6
Brian Garcia,137,female,2.17,79,C+,94
Brianna Walker,138,male,3.50,77,C+,6
Christine Hunter,139,female,2.83,79,C+,33
Joseph Smith,140,male,2.71,82,B-,95
Travis Day,141,male,2.46,82,B-,25
Paula Randall,142,male,2.50,80,B-,88
Debra Jones MD,143,male,2.11,82,B-,31
Mr. James Garcia,144,male,2.00,81,B-,84
Kenneth Norton MD,145,male,3.54,80,B-,29
John George,146,female,3.67,80,B-,51
Steven Allen,147,female,2.88,80,B-,56
Lisa Parker,148,female,3.29,80,B-,16
Richard Osborne,149,female,3.28,80,B-,51
Kenneth Cannon,150,male,3.54,82,B-,35
Kyle Kennedy,151,male,3.41,81,B-,39
Stephanie Zimmerman,152,female,3.75,81,B-,45
Tanner Price,153,female,2.32,80,B-,21
Kevin Davis,154,female,3.06,80,B-,48
Tina White,155,male,2.67,80,B-,1
Tiffany Leblanc,156,female,3.35,80,B-,9
Jennifer Bailey,157,male,2.16,82,B-,64
Travis Howe,158,female,2.35,81,B-,76
Kelsey Villarreal,159,male,3.27,80,B-,11
Scott Ray,160,female,3.23,86,B,35
Heather Sherman,161,male,2.53,83,B,45
Kayla Hogan,162,female,2.99,85,B,84
Nathan May,163,female,3.52,84,B,41
Gary Potter,164,female,2.91,85,B,86
Christina Bell,165,female,3.66,83,B,73
Kristy Mcmahon,166,female,3.55,86,B,12
William Rogers,167,male,3.32,83,B,100
Marc Walsh,168,female,3.59,83,B,44
Timothy Martinez,169,male,2.39,84,B,2
Michelle Phelps,170,female,2.20,86,B,76
Gina Martin,171,female,2.66,85,B,37
Darryl Sharp,172,female,2.64,86,B,6
Katherine Davis,173,female,2.06,83,B,47
Tonya Kelley,174,male,2.85,86,B,68
Ryan Banks,175,female,2.75,83,B,35
Donna Page,176,male,2.09,84,B,13
Barbara Andrews,177,male,3.39,85,B,54
David Chambers,178,male,2.74,85,B,85
Mrs. Melissa Cook DDS,179,female,2.40,84,B,45
Anna Johnson,180,male,2.83,87,B+,71
Ms. Erica Mullins DDS,181,male,3.36,88,B+,61
Julia Mcbride,182,female,3.52,89,B+,72
Sharon Patterson,183,male,3.37,87,B+,90
Heather Clark,184,male,3.23,89,B+,94
Erica Williams,185,male,2.96,87,B+,57
Melissa Warren,186,female,2.85,87,B+,80
Rebecca Robinson,187,male,3.60,88,B+,41
Lauren Wright,188,female,3.12,89,B+,69
Kimberly Williams,189,male,2.92,88,B+,77
David Klein,190,male,2.16,89,B+,69
Ellen Trevino,191,female,2.17,87,B+,5
Crystal Campbell,192,male,2.84,88,B+,6
Dawn Pope,193,male,3.71,87,B+,51
Melissa Smith,194,male,3.52,87,B+,47
Melissa Rodriguez,195,male,3.89,88,B+,10
Debra Liu,196,male,3.57,89,B+,66
Donna Vargas,197,female,3.54,89,B+,69
Angela Owen,198,male,2.36,88,B+,5
Michelle Cooper,199,male,2.98,89,B+,60
Clinton Ingram,200,female,3.09,90,A-,6
Sarah Galvan,201,female,2.10,92,A-,42
Mitchell Roach,202,male,3.42,90,A-,25
Sandra Lawson,203,female,2.61,92,A-,56
Tanya Contreras,204,male,3.15,90,A-,41
Peter Newman,205,male,2.51,92,A-,59
Nicholas Newman,206,female,3.69,91,A-,96
Patrick Hill,207,male,2.20,90,A-,52
Mr. Wayne Gray,208,male,2.72,91,A-,30
Allison Nelson,209,female,3.18,90,A-,44
Andrew Curtis,210,female,3.81,92,A-,62
Megan Costa,211,male,2.82,91,A-,23
Susan Rocha,212,male,2.18,91,A-,9
Christine Allen,213,male,3.41,92,A-,92
Judy Phillips,214,female,3.43,91,A-,40
Joe Warren,215,male,3.79,91,A-,93
Heather Miller,216,male,3.76,91,A-,6
Todd Garcia,217,female,2.82,92,A-,2
Ashley Wiggins,218,male,2.04,92,A-,24
Jillian Huang,219,female,3.82,91,A-,31
Kim Yates,220,male,2.35,93,A,72
Brian Miranda,221,female,3.90,96,A,35
Larry Hopkins,222,male,2.97,94,A,72
Thomas Jones,223,female,2.43,94,A,33
Vanessa Kent,224,female,3.37,94,A,32
Casey Jordan,225,male,2.95,96,A,8
Pamela Bryant,226,male,3.99,95,A,39
John Baldwin,227,female,3.44,93,A,11
Frank Collins,228,female,2.33,96,A,95
Sean Bender,229,female,2.04,95,A,3
Samantha Mclaughlin,230,male,3.93,96,A,12
Andrea Fletcher,231,male,2.95,95,A,5
Savannah Thomas,232,male,3.48,93,A,71
Jacqueline Peterson,233,female,3.90,95,A,80
Shannon Davis,234,male,3.62,94,A,58
Ashley Miranda,235,male,2.38,93,A,97
Justin Colon,236,male,3.90,95,A,100
Robin Green,237,female,3.06,96,A,1
Ryan Smith DDS,238,female,2.18,94,A,24
Catherine Long,239,female,3.99,94,A,3
Andrew Mckinney,240,male,3.69,99,A+,35
Amanda Thompson,241,female,3.86,97,A+,70
Mason Johnson,242,male,2.45,99,A+,23
Jennifer Scott,243,female,2.51,98,A+,5
Jennifer Perkins,244,female,2.52,98,A+,33
Katherine Gonzales,245,female,3.34,98,A+,22
Aaron Nicholson,246,male,3.36,98,A+,74
James Meyer,247,female,3.08,97,A+,98
Leah Smith,248,female,3.77,100,A+,11
Dustin Hernandez,249,female,3.97,97,A+,97
Alejandro Peterson,250,female,2.41,100,A+,44
Betty Butler,251,female,3.55,98,A+,82
Stephanie Hicks,252,female,2.72,97,A+,33
Jennifer Henderson,253,female,2.65,98,A+,92
Erin Garrison,254,female,3.36,99,A+,59
Larry Brown,255,male,2.81,97,A+,7
Robert Rasmussen,256,female,2.63,97,A+,86
Michael Wilkinson,257,female,2.46,99,A+,12
Richard Dickson,258,male,2.35,97,A+,48
Susan Sexton,259,female,3.23,99,A+,6
