Name,Student id,sex,overall gpa,grade on recent exam,letter grade on recent exam,gym_exam_score
Teresa Hernandez,520,female,3.71,79,C+,58
John Colon,521,male,3.55,40,F,68
Mary Armstrong,522,female,3.31,89,B+,16
Brandon Thompson,523,male,3.57,83,B,29
Phillip Clark,524,male,3.14,43,F,82
David Dean,525,female,2.99,8,F,40
Tyler Larsen,526,female,2.11,100,A+,94
Joshua Horn,527,male,2.37,38,F,23
Laurie King,528,male,3.87,65,D,23
Rachel Rodriguez,529,male,3.17,94,A,13
Sherry Galloway MD,530,female,2.09,68,D+,54
Kelsey Crosby,531,male,3.57,33,F,61
Justin Quinn,532,female,2.76,100,A+,53
Joseph Bennett,533,female,3.29,8,F,50
Mr. David Thomas,534,female,2.07,6,F,14
Theresa Adams,535,male,3.27,18,F,81
Erin Powell,536,male,3.45,18,F,88
Laura Martinez,537,male,3.24,4,F,74
Alex Castillo,538,female,3.52,48,F,12
Michelle Cole,539,male,2.39,77,C+,92
Mary Pena,540,male,3.19,37,F,2
Calvin Miller,541,female,2.90,72,C-,33
Jeffery Patel,542,female,2.65,16,F,97
Martha Bender,543,male,2.56,30,F,34
John Carter,544,female,2.38,59,F,95
Debbie Pugh,545,male,2.54,34,F,64
Johnny Miller,546,male,2.71,31,F,92
Lisa Wong,547,male,3.22,15,F,75
Kelsey Bird,548,male,3.08,66,D,0
Brandon Marshall,549,male,2.36,74,C,26
Alexis Goodman,550,female,3.01,97,A+,0
Michael Carroll,551,female,2.40,56,F,75
Sharon Perez,552,male,3.22,57,F,37
Crystal Reyes,553,female,2.80,58,F,48
Brent Myers,554,female,3.04,80,B-,49
Dr. Meagan Ingram DVM,555,female,3.05,22,F,5
Misty Dillon,556,female,3.03,82,B-,73
Patrick Espinoza,557,female,3.30,42,F,29
Mrs. Kimberly Bailey,558,female,2.39,75,C,99
Stephanie Navarro,559,male,3.17,89,B+,93
Robert Sanders,560,male,3.52,40,F,92
Robert Avila,561,female,3.82,82,B-,63
Christine Lopez,562,female,3.47,90,A-,80
Joseph Thomas,563,male,3.22,58,F,52
Angela Hill,564,male,3.63,20,F,72
Connie Allen,565,female,2.18,66,D,63
Andrea Collins,566,male,2.17,86,B,83
Michael Diaz,567,male,3.08,68,D+,84
Steven Taylor,568,female,3.89,35,F,93
Ronald Summers,569,female,3.77,11,F,24
Brandon Bell,570,male,3.55,66,D,73
Leah Garcia,571,male,2.83,93,A,54
Gregory Ryan,572,male,3.50,32,F,86
Mary Henry,573,female,3.19,95,A,40
Robin Cox,574,male,3.36,33,F,71
Melissa Larson,575,female,3.51,13,F,11
Joshua Golden,576,male,2.16,53,F,86
